peak	gene	distance	peak_type
chr1_13244891_13245366	Ncoa2;Prdm14	0;-117729	distal;distal
chr1_13251462_13252156	Ncoa2	120283	distal
chr1_13290112_13290560	Ncoa2	81879	distal
chr1_13292622_13293585	Ncoa2	78854	distal
chr1_13299454_13300202	Ncoa2	72237	distal
chr1_13300755_13300760	Ncoa2	71679	distal
chr1_13312678_13312872	Ncoa2	59567	distal
chr1_13314162_13315045	Ncoa2	57394	distal
chr1_13326747_13327061	Ncoa2	45378	distal
chr1_13330611_13331665	Ncoa2	40774	distal
chr1_13352706_13353184	Ncoa2	19255	distal
chr1_13360560_13361066	Ncoa2	11373	distal
chr1_13366554_13367055	Ncoa2	5384	distal
chr1_13371661_13375130	Ncoa2	0	promoter
chr1_13425665_13428266	Gm29570	49596	distal
chr1_13437993_13438137	Gm29570	61924	distal
chr1_13468245_13468476	Gm29570	92176	distal
chr1_13493978_13495533	Tram1	94377	distal
chr1_13500494_13500813	Tram1	89097	distal
chr1_13530675_13532406	Tram1	57504	distal
chr1_13544887_13544915	Tram1	44995	distal
chr1_13573676_13574648	Tram1	15262	distal
chr1_13588640_13590655	Tram1	0	promoter
chr1_13607846_13608892	Tram1	-17937	distal
chr1_13614819_13614918	Tram1	-24910	distal
chr1_13649223_13650416	Lactb2	10130	distal
chr1_13659503_13661162	Lactb2	0	promoter
chr1_13682855_13683510	Xkr9	14085	distal
chr1_13697370_13697773	Xkr9	28600	distal
chr1_13706287_13706784	Xkr9	37517	distal
chr1_13784409_13785213	Xkr9	115639	distal
chr1_13789141_13789904	Xkr9	120371	distal
chr1_13846401_13846702	Xkr9	177631	distal
chr1_13858334_13859155	Xkr9	189564	distal
chr1_13860421_13861494	Xkr9	191651	distal
chr1_13870907_13871186			intergenic
chr1_13936071_13936346			intergenic
chr1_13938408_13938459			intergenic
chr1_13992931_13993497			intergenic
chr1_13998363_13998378			intergenic
chr1_14000733_14001245			intergenic
chr1_14002598_14002695			intergenic
chr1_14011541_14011953			intergenic
chr1_14097913_14098151			intergenic
chr1_14099120_14099337			intergenic
chr1_14102026_14102326			intergenic
chr1_14108102_14109705	Eya1	194865	distal
chr1_14129316_14130196	Eya1	174374	distal
chr1_14135157_14135571	Eya1	168999	distal
chr1_14139698_14140177	Eya1	164393	distal
chr1_14151111_14151527	Eya1	153043	distal
chr1_14162315_14162969	Eya1	141601	distal
chr1_14165356_14165805	Eya1	138765	distal
chr1_14181455_14182029	Eya1	122541	distal
chr1_14183923_14185942	Eya1	118628	distal
chr1_14189972_14190338	Eya1	114232	distal
chr1_14192892_14192921	Eya1	111649	distal
chr1_14202358_14202614	Eya1	101956	distal
chr1_14218577_14219251	Eya1	85319	distal
chr1_14255539_14255899	Eya1	48671	distal
chr1_14288169_14288731	Eya1	15839	distal
chr1_14291456_14291661	Eya1	12909	distal
chr1_14293497_14294844	Eya1	9726	distal
chr1_14302513_14305494	Eya1	0	promoter
chr1_14307195_14307518	Eya1	2601	distal
chr1_14308435_14310846	Eya1	0	promoter
chr1_14313691_14314233	Eya1	-3457	distal
chr1_14368240_14368376	Eya1	-58006	distal
chr1_14404645_14404702	Eya1	-94411	distal
chr1_14472257_14472615	Eya1	-162023	distal
chr1_14503090_14507734	Eya1	-192856	distal
chr1_14508558_14509062	Eya1	-198324	distal
chr1_14512579_14514348			intergenic
chr1_14570174_14571090	Gm9947	-181847	distal
chr1_14622984_14623560	Gm9947	-129377	distal
chr1_14635906_14636163	Gm9947	-116774	distal
chr1_14644165_14644231	Gm9947	-108706	distal
chr1_14678414_14678859	Gm9947	-74078	distal
chr1_14704895_14705401	Gm9947	-47536	distal
chr1_14729019_14729469	Gm9947	-23468	distal
chr1_14739793_14740476	Gm9947	-12461	distal
chr1_14754955_14757348	Msc;Gm9947	0;0	promoter;promoter
chr1_14862582_14862654	Trpa1	56181	distal
chr1_14918449_14919244	Trpa1	0	promoter
chr1_14980307_14980669	Trpa1	-61446	distal
chr1_15007607_15008096	Trpa1	-88746	distal
chr1_15034093_15034426	Trpa1	-115232	distal
chr1_15053660_15054198	Trpa1	-134799	distal
chr1_15285995_15288093	Kcnb2	0	promoter
chr1_15307519_15307824	Kcnb2	-4628	distal
chr1_15383262_15383938	Kcnb2	70811	distal
chr1_15454530_15454539	Kcnb2	142079	distal
chr1_15481211_15481745	Kcnb2	168760	distal
chr1_15483242_15483801	Kcnb2	170791	distal
chr1_15506612_15506724	Kcnb2	194161	distal
chr1_15568518_15569217	Kcnb2	0	distal
chr1_15609477_15609782	Terf1;Kcnb2	-195864;0	distal;distal
chr1_15610347_15610989	Terf1;Kcnb2	-194657;0	distal;distal
chr1_15616075_15617254	Terf1;Kcnb2	-188392;0	distal;distal
chr1_15621860_15622279	Terf1;Kcnb2	-183367;0	distal;distal
chr1_15631358_15631566	Terf1;Kcnb2	-174080;0	distal;distal
chr1_15636398_15637296	Terf1;Kcnb2	-168350;0	distal;distal
chr1_15640738_15641508	Terf1;Kcnb2	-164138;0	distal;distal
chr1_15651544_15652690	Terf1;Kcnb2	-152956;0	distal;distal
chr1_15658030_15658920	Terf1;Kcnb2	-146726;0	distal;distal
chr1_15683571_15684084	Terf1;Kcnb2	-121562;0	distal;distal
chr1_15791820_15792336	Terf1	-13310	distal
chr1_15804921_15806839	Terf1	0	promoter
chr1_15811365_15811456	Terf1	5702	distal
chr1_15892244_15893216	Sbspon	0	promoter
chr1_15936343_15936663	Sbspon	-43622	distal
chr1_15990961_15992081	4930444P10Rik	89131	distal
chr1_15993516_15993948	4930444P10Rik	87264	distal
chr1_16079172_16079323	4930444P10Rik	1889	distal
chr1_16085798_16085935	4930444P10Rik	-4587	distal
chr1_16091763_16092040	4930444P10Rik	1285	distal
chr1_16092656_16093748	4930444P10Rik	0	promoter
chr1_16103595_16106833	Rdh10;Rpl7	0;0	promoter;promoter
chr1_16115224_16115642	Rdh10	9451	distal
chr1_16122865_16123191	Rdh10	17092	distal
chr1_16130111_16130534	Rdh10	24338	distal
chr1_16185872_16186896	Gm28095	-41610	distal
chr1_16201632_16202414	Gm28095	-26092	distal
chr1_16237414_16237564	Stau2;Gm28095	0;8909	distal;distal
chr1_16249142_16249208	Stau2;Gm7568	0;-4384	distal;distal
chr1_16254313_16254578	Stau2;Gm7568	0;722	distal;distal
chr1_16433351_16433830	Stau2	85381	distal
chr1_16435994_16436294	Stau2	82917	distal
chr1_16440154_16440620	Stau2	78591	distal
chr1_16441937_16441994	Stau2	77217	distal
chr1_16518176_16520853	Stau2	0	promoter
chr1_16545128_16545622	Stau2;Ube2w	-25017;0	distal;distal
chr1_16546503_16547124	Stau2;Ube2w	-26392;0	distal;distal
chr1_16617468_16620323	Ube2w	0	promoter
chr1_16656018_16658138	Eloc;D030040B21Rik	0;0	promoter;promoter
chr1_16664697_16666132	Tmem70	0	promoter
chr1_16675067_16675450	Tmem70	9858	distal
chr1_16687937_16689214	Ly96	0	promoter
chr1_16746013_16746393	Ly96	57506	distal
chr1_16798291_16798753	Gm28376	-99432	distal
chr1_16809761_16810078	Gm28376	-88107	distal
chr1_16964821_16964823	Gm28376	66637	distal
chr1_16979848_16980371	Gm28376	81664	distal
chr1_16996680_16997062	Jph1;Gm28376	0;98496	distal;distal
chr1_17043315_17043774	Jph1;Gm28376	54115;0	distal;distal
chr1_17053938_17054418	Jph1;Gm28376	43471;0	distal;distal
chr1_17060187_17061113	Jph1;Gm28376	36776;0	distal;distal
chr1_17095979_17095998	Jph1	1891	distal
chr1_17096533_17099734	Jph1	0	promoter
chr1_17122990_17123890	Gm28783	-857	promoter
chr1_17145061_17146041	Gdap1	0	promoter
chr1_17163501_17164038	Gdap1;Gm28784	0;-4365	distal;distal
chr1_17309904_17310523	Gm28784	141502	distal
chr1_17601611_17601703	Pi15	-198	promoter
chr1_17629548_17629887	Pi15;Gm28154	0;11194	distal;distal
chr1_17646938_17647128	Gm28154	-5858	distal
chr1_17657441_17657640	Gm28154	-16361	distal
chr1_17726999_17727967	Crispld1;Gm16070	0;0	promoter;promoter
chr1_17828487_17828858	Gm28153	-23071	distal
chr1_17838356_17839022	Gm28153	-32940	distal
chr1_17980577_17981039	Gm28756	78017	distal
chr1_18012807_18013278	Gm28756	45778	distal
chr1_18057062_18059364	Gm28756	0	promoter
chr1_18106065_18107181	Crisp4	29870	distal
chr1_18148109_18148681	Crisp4	-2208	distal
chr1_18168206_18168731	Crisp4	-22305	distal
chr1_18170525_18171048	Crisp4	-24624	distal
chr1_18180161_18181833	Crisp4	-34260	distal
chr1_18190685_18192303	Crisp4	-44784	distal
chr1_18292281_18292970	Defb41	-27144	distal
chr1_18307215_18309030	Defb41	-42078	distal
chr1_18359970_18360411	Defb41	-94833	distal
chr1_18386456_18386878	Defb41	-121319	distal
chr1_18465382_18465738			intergenic
chr1_18639582_18639787			intergenic
chr1_18698482_18698710			intergenic
chr1_18758282_18759047			intergenic
chr1_18857624_18857716			intergenic
chr1_18905063_18905356	Tfap2d	-197666	distal
chr1_18976648_18977359	Tfap2d	-125663	distal
chr1_19056345_19056699	Tfap2d	-46323	distal
chr1_19088000_19088506	Tfap2d;Gm15825	-14516;0	distal;distal
chr1_19096789_19097594	Tfap2d;Gm15825	-5428;0	distal;distal
chr1_19102441_19106103	Tfap2d;Gm15825	0;0	promoter;promoter
chr1_19106749_19107936	Tfap2d;Gm15825	0;-1910	distal;distal
chr1_19108690_19111393	Tfap2d;Gm15825	0;-3851	distal;distal
chr1_19137659_19137736	Tfap2d;Gm15825	0;-32820	distal;distal
chr1_19178978_19179464	Tfap2b	-29450	distal
chr1_19205536_19206635	Tfap2b	-2279	distal
chr1_19208733_19211116	Tfap2b	0	promoter
chr1_19211696_19212273	Tfap2b	0	promoter
chr1_19213925_19214582	Tfap2b	1872	distal
chr1_19217130_19218675	Tfap2b	5077	distal
chr1_19219657_19220058	Tfap2b	7604	distal
chr1_19220566_19221116	Tfap2b	8513	distal
chr1_19225205_19225330	Tfap2b	13152	distal
chr1_19226077_19227239	Tfap2b	14024	distal
chr1_19227770_19228163	Tfap2b;Gm28340	0;-14562	distal;distal
chr1_19230498_19232005	Tfap2b;Gm28340	0;-10720	distal;distal
chr1_19232612_19233026	Tfap2b;Gm28340	0;-9699	distal;distal
chr1_19233579_19235301	Tfap2b;Gm28340	0;-7424	distal;distal
chr1_19236396_19236958	Tfap2b;Gm28340	0;-5767	distal;distal
chr1_19240966_19241826	Gm28340	-899	promoter
chr1_19244937_19245666	Gm28340	2213	distal
chr1_19265562_19265776	Gm28340	22838	distal
chr1_19389135_19389239	Gm28340	146411	distal
chr1_19672935_19673140			intergenic
chr1_19857236_19858080			intergenic
chr1_19868421_19868881			intergenic
chr1_19881196_19881363			intergenic
chr1_19900029_19900337			intergenic
chr1_19973271_19973745			intergenic
chr1_19982820_19983955			intergenic
chr1_20017648_20018017			intergenic
chr1_20039319_20039824			intergenic
chr1_20069655_20070268	Pkhd1	0	distal
chr1_20216511_20217093	Pkhd1;4930486I03Rik	0;-139359	distal;distal
chr1_20240536_20240800	Pkhd1;4930486I03Rik	0;-115652	distal;distal
chr1_20301776_20303579	Pkhd1;4930486I03Rik	0;-52873	distal;distal
chr1_20306184_20306488	Pkhd1;4930486I03Rik	0;-49964	distal;distal
chr1_20311452_20311929	Pkhd1;4930486I03Rik	0;-44523	distal;distal
chr1_20390436_20390530	Pkhd1;4930486I03Rik	0;33985	distal;distal
chr1_20409339_20410204	Pkhd1;4930486I03Rik	0;52888	distal;distal
chr1_20428185_20429338	Pkhd1;4930486I03Rik	0;71734	distal;distal
chr1_20450047_20450534	Pkhd1;4930486I03Rik	0;93596	distal;distal
chr1_20470192_20471067	Pkhd1;4930486I03Rik	0;113741	distal;distal
chr1_20477490_20478930	Pkhd1;4930486I03Rik	0;121039	distal;distal
chr1_20498862_20499416	Pkhd1	118648	distal
chr1_20513665_20514142	Pkhd1	103922	distal
chr1_20520193_20520387	Pkhd1	97677	distal
chr1_20554341_20555207	Pkhd1	62857	distal
chr1_20612644_20613221	Pkhd1	4843	distal
chr1_20620671_20620935	Pkhd1	-2608	distal
chr1_20670740_20671196	Gm28653	859	distal
chr1_20678059_20678333	Gm28653	-690	promoter
chr1_20699978_20700406	Gm28653	20956	distal
chr1_20788435_20788539	Il17f	-4166	distal
chr1_20801281_20802368	Il17f	-17012	distal
chr1_20819712_20820939	Mcm3	0	promoter
chr1_20823523_20824318	Mcm3	-3212	distal
chr1_20830968_20831226	Gm28065	-5435	distal
chr1_20845562_20846125	Gm28065	8902	distal
chr1_20867433_20868434	6720483E21Rik	22039	distal
chr1_20877494_20877691	6720483E21Rik	12782	distal
chr1_20889617_20893441	Paqr8;6720483E21Rik	0;0	promoter;promoter
chr1_20898738_20898945	Paqr8	8133	distal
chr1_20900582_20900650	Paqr8	9977	distal
chr1_20905219_20909003	Paqr8	-8837	distal
chr1_20912381_20912989	Paqr8	-4851	distal
chr1_20919736_20920005	Paqr8	1863	distal
chr1_20921096_20921692	Paqr8	-567	promoter
chr1_20922396_20923702	Paqr8	138	distal
chr1_20933361_20933986	Paqr8	11103	distal
chr1_20935045_20935429	Paqr8	12787	distal
chr1_20938817_20939552	Paqr8;Efhc1	0;-12136	distal;distal
chr1_20941252_20942167	Efhc1	-9521	distal
chr1_20950889_20952679	Efhc1	0	promoter
chr1_20984146_20985080	Efhc1	32459	distal
chr1_20986232_20987058	Efhc1	34545	distal
chr1_20995179_20996032	Efhc1	43492	distal
chr1_21002363_21003346	Tram2;Efhc1	0;50676	distal;distal
chr1_21026466_21026973	Tram2	52256	distal
chr1_21039731_21039943	Tram2	39286	distal
chr1_21052005_21053496	Tram2	25733	distal
chr1_21067847_21068555	Tram2	10674	distal
chr1_21073656_21074832	Tram2	4397	distal
